Nazev souboru,Velikost,Pixely,Bit/Pixel
"test/testest/compressed/1024,1024_4/CCBG83002_1024,1024-4.jp2",43560883B,33660000px,1.2941438799762328
"test/testest/compressed/1024,1024_2/CCBG83002_1024,1024-2.jp2",45396378B,33660000px,1.348674331550802
"test/testest/compressed/1024,1024_10/CCBG83002_1024,1024-10.jp2",43512972B,33660000px,1.2927204991087344
"test/testest/compressed/1024,1024_6/CCBG83002_1024,1024-6.jp2",43508455B,33660000px,1.2925863042186572
"test/testest/compressed/1024,1024_8/CCBG83002_1024,1024-8.jp2",43510667B,33660000px,1.2926520202020202
"test/testest/compressed/1024,1024_5/CCBG83002_1024,1024-5.jp2",43512847B,33660000px,1.2927167855020796
"test/testest/compressed/1024,1024_9/CCBG83002_1024,1024-9.jp2",43511832B,33660000px,1.2926866310160428
"test/testest/compressed/1024,1024_3/CCBG83002_1024,1024-3.jp2",43803473B,33660000px,1.3013509506833036
"test/testest/compressed/1024,1024_1/CCBG83002_1024,1024-1.jp2",57544265B,33660000px,1.7095741235888295
"test/testest/compressed/1024,1024_7/CCBG83002_1024,1024-7.jp2",43509548B,33660000px,1.2926187759952465
