NAZEV SOUBORU                        |           VELIKOST          |           PIXELS          |   byte/ pixel      
datasets/scan_book/CCBG83055.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83221.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83035.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83065.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83223.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83002.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83029.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83040.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83023.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83020.tif | 100991660B | 33660000px | 3.00034640523
datasets/scan_book/CCBG83053.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83021.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83025.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83033.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83072.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83004.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83027.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83089.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83006.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83222.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83042.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83090.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83017.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83224.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83003.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83044.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83009.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83047.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83015.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83011.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83073.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83019.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83045.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83037.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83067.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83014.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83028.tif | 100988960B | 33660000px | 3.00026619133
datasets/scan_book/CCBG83031.tif | 134657758B | 33660000px | 4.00052756982
datasets/scan_book/CCBG83005.tif | 134657758B | 33660000px | 4.00052756982
