NAZEV SOUBORU                        |           VELIKOST          |           PIXELS          |   byte/ pixel      
datasets/scan_book/compressed/CCBG83222_8.jp2 | 37311561B | 33660000px | 1.10848368984
datasets/scan_book/compressed/CCBG83006_9.jp2 | 41947303B | 33660000px | 1.24620626857
datasets/scan_book/compressed/CCBG83042_5.jp2 | 40168153B | 33660000px | 1.19334976233
datasets/scan_book/compressed/CCBG83040_4.jp2 | 49147392B | 33660000px | 1.46011265597
datasets/scan_book/compressed/CCBG83033_2.jp2 | 51289009B | 33660000px | 1.52373764112
datasets/scan_book/compressed/CCBG83002_4.jp2 | 43540071B | 33660000px | 1.29352557932
datasets/scan_book/compressed/CCBG83006_5.jp2 | 41951675B | 33660000px | 1.24633615567
datasets/scan_book/compressed/CCBG83224_8.jp2 | 43773978B | 33660000px | 1.30047468806
datasets/scan_book/compressed/CCBG83033_3.jp2 | 50210978B | 33660000px | 1.49171057635
datasets/scan_book/compressed/CCBG83072_7.jp2 | 51071895B | 33660000px | 1.51728743316
datasets/scan_book/compressed/CCBG83221_8.jp2 | 37435135B | 33660000px | 1.11215493167
datasets/scan_book/compressed/CCBG83021_8.jp2 | 50051043B | 33660000px | 1.48695909091
datasets/scan_book/compressed/CCBG83033_4.jp2 | 50103836B | 33660000px | 1.4885275104
datasets/scan_book/compressed/CCBG83009_5.jp2 | 52161209B | 33660000px | 1.54964970291
datasets/scan_book/compressed/CCBG83090_4.jp2 | 40926545B | 33660000px | 1.21588071895
datasets/scan_book/compressed/CCBG83037_7.jp2 | 47356012B | 33660000px | 1.40689281046
datasets/scan_book/compressed/CCBG83065_6.jp2 | 44381999B | 33660000px | 1.31853829471
datasets/scan_book/compressed/CCBG83044_5.jp2 | 40315776B | 33660000px | 1.19773547237
datasets/scan_book/compressed/CCBG83027_6.jp2 | 51891164B | 33660000px | 1.54162697564
datasets/scan_book/compressed/CCBG83042_3.jp2 | 40455270B | 33660000px | 1.20187967914
datasets/scan_book/compressed/CCBG83047_3.jp2 | 48526739B | 33660000px | 1.44167376708
datasets/scan_book/compressed/CCBG83006_2.jp2 | 43742665B | 33660000px | 1.29954441474
datasets/scan_book/compressed/CCBG83065_7.jp2 | 44378589B | 33660000px | 1.31843698752
datasets/scan_book/compressed/CCBG83089_8.jp2 | 38806050B | 33660000px | 1.15288324421
datasets/scan_book/compressed/CCBG83047_1.jp2 | 57674396B | 33660000px | 1.71344016637
datasets/scan_book/compressed/CCBG83014_8.jp2 | 46917487B | 33660000px | 1.39386473559
datasets/scan_book/compressed/CCBG83055_8.jp2 | 48225289B | 33660000px | 1.43271803327
datasets/scan_book/compressed/CCBG83073_9.jp2 | 38997150B | 33660000px | 1.15856060606
datasets/scan_book/compressed/CCBG83045_8.jp2 | 44052028B | 33660000px | 1.3087352347
datasets/scan_book/compressed/CCBG83224_7.jp2 | 43774537B | 33660000px | 1.30049129531
datasets/scan_book/compressed/CCBG83055_9.jp2 | 48225437B | 33660000px | 1.43272243018
datasets/scan_book/compressed/CCBG83023_8.jp2 | 43394082B | 33660000px | 1.28918841355
datasets/scan_book/compressed/CCBG83090_6.jp2 | 40896900B | 33660000px | 1.215
datasets/scan_book/compressed/CCBG83004_1.jp2 | 50680465B | 33660000px | 1.50565849673
datasets/scan_book/compressed/CCBG83224_3.jp2 | 43901453B | 33660000px | 1.30426182412
datasets/scan_book/compressed/CCBG83009_3.jp2 | 52267846B | 33660000px | 1.55281776589
datasets/scan_book/compressed/CCBG83067_8.jp2 | 45964169B | 33660000px | 1.36554275104
datasets/scan_book/compressed/CCBG83221_3.jp2 | 37580460B | 33660000px | 1.11647237077
datasets/scan_book/compressed/CCBG83053_3.jp2 | 45110648B | 33660000px | 1.34018562092
datasets/scan_book/compressed/CCBG83005_5.jp2 | 46898718B | 33660000px | 1.39330713012
datasets/scan_book/compressed/CCBG83073_6.jp2 | 39000893B | 33660000px | 1.1586718063
datasets/scan_book/compressed/CCBG83011_6.jp2 | 39244356B | 33660000px | 1.16590481283
datasets/scan_book/compressed/CCBG83073_3.jp2 | 39240145B | 33660000px | 1.16577970885
datasets/scan_book/compressed/CCBG83029_7.jp2 | 51241264B | 33660000px | 1.52231919192
datasets/scan_book/compressed/CCBG83044_8.jp2 | 40308421B | 33660000px | 1.19751696376
